Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
SDEX;SP0322;Parque Maeda;ITU;São Paulo;No solo;-23.339167;-47.3475;"23°20'21.0""S";"047°20'51.0""W";653,0;VFR;;10;Quadrado;21 m;4,50;Grama;19/07/2027;PA2017-2065;https://pergamum.anac.gov.br/arquivos/PA2017-2065.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEY;SP0323;Imigrantes;DIADEMA;São Paulo;No solo;-23.688889;-46.605278;"23°41'20.0""S";"046°36'19.0""W";779,0;VFR;;26;Quadrado;21 m;6,00;Concreto;06/02/2025;PA2015-0286;https://pergamum.anac.gov.br/arquivos/PA2015-0286.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEZ;SP0324;Unibanco Eusébio Matoso;SÃO PAULO;São Paulo;Elevado;-23.5725;-46.698889;"23°34'21.0""S";"046°41'56.0""W";817,0;VFR;VFR;1 19;Quadrado;23 m;6,00;Concreto;17/04/2023;PA2013-0980;https://pergamum.anac.gov.br/arquivos/PA2013-0980.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFB;SP0325;Fundação Bradesco;CAMPINAS;São Paulo;No solo;-22.964444;-47.077222;"22°57'52.0""S";"047°04'38.0""W";603,0;VFR;;4;Quadrado;19,5 m;5,00;Concreto;23/03/2027;PA2017-0492;https://pergamum.anac.gov.br/arquivos/PA2017-0492.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFJ;SP0326;Fazenda Murungaba;TIETÊ;São Paulo;No solo;-22.951389;-47.76;"22°57'05.0""S";"047°45'36.0""W";494,0;VFR;VFR;36;Quadrado;21 m;5,00;Concreto;24/07/2030;PA2020-1730;https://pergamum.anac.gov.br/arquivos/PA2020-1730.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFM;SP0327;DJY;SÃO PAULO;São Paulo;Elevado;-23.5975;-46.685278;"23°35'51.0""S";"046°41'07.0""W";793,0;VFR;VFR;3;Quadrado;18 m;4,00;Concreto;24/07/2024;PA2014-1676;https://pergamum.anac.gov.br/arquivos/PA2014-1676.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFO;SP0328;Centro Gráfico - Folha;SANTANA DE PARNAÍBA;São Paulo;No solo;-23.466389;-46.860556;"23°27'59.0""S";"046°51'38.0""W";773,0;VFR;VFR;22;Quadrado;22 m;4,25;Concreto;01/06/2031;PA2021-5083;https://pergamum.anac.gov.br/arquivos/PA2021-5083.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFP;SP0329;Folha de São Paulo;SÃO PAULO;São Paulo;Elevado;-23.537778;-46.645833;"23°32'16.0""S";"046°38'45.0""W";796,0;VFR;Sem Operação;8 23;Quadrado;18 m;2,00;Concreto;06/03/2023;PA2013-0573;https://pergamum.anac.gov.br/arquivos/PA2013-0573.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFS;SP0330;Fazenda Santa Gertrudes;DOURADO;São Paulo;No solo;-22.092222;-48.3475;"22°05'32.0""S";"048°20'51.0""W";634,0;VFR;VFR;7;Quadrado;21 m;6,00;Concreto;09/04/2031;PA2021-4643;https://pergamum.anac.gov.br/arquivos/PA2021-4643.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFV;SP0331;Federação Paulista de Futebol;SÃO PAULO;São Paulo;Elevado;-23.522222;-46.667222;"23°31'20.0""S";"046°40'02.0""W";755,0;VFR;VFR;16;Quadrado;18 m;3,00;Metálico;25/06/2031;PA2021-5201;https://pergamum.anac.gov.br/arquivos/PA2021-5201.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDFW;SP0332;Condomínio Edifício San Paolo;SÃO PAULO;São Paulo;Elevado;-23.575;-46.687778;"23°34'30.0""S";"046°41'16.0""W";825,0;VFR;VFR;8 23;Quadrado;21 m;4,50;Concreto;04/03/2023;PA2013-1286;https://pergamum.anac.gov.br/arquivos/PA2013-1286.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGD;SP0333;Eucatex-Botucatú;BOTUCATU;São Paulo;No solo;-22.994167;-48.567778;"22°59'39.0""S";"048°34'04.0""W";810,0;VFR;VFR;31;Quadrado;24 m;6,00;Concreto;17/01/2023;PA2013-0136;https://pergamum.anac.gov.br/arquivos/PA2013-0136.pdf;;;;;;;Privado;62;3;4;Helipontos;
