"geometriaa","tipovia","jurisdicao","administra","concession","revestimen","operaciona","situacaofi","canteirodi","nrpistas","nrfaixas","trafego","tipopavime","sigla","acostament","codtrechor","limitevelo","emperimetr","categoria","parent_id","name","label","id"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Asfalto                                                                         ","RO-383                     ","Sim                                                                             ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","RO-383                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","","Permanente                                                                      ","Desconhecido                                                                    ","PR-457                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","PR-457                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-463                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-463                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-463                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-463                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","Rota das Bandeiras                                                                                  ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-065                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-065                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","Rota das Bandeiras                                                                                  ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-065                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-065                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-625                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-625                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-625                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-625                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Desconhecida                                                                    ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","PA-324                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","PA-324                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Desconhecida                                                                    ","                                                                                                    ","Sem revestimento (leito natural)                                                ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","PA-001                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","PA-001                                            ","27"
